Indicador;Data;DataReferencia;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
IPCA;2021-09-29;2/2022;0,7923;0,8021;0,2688;0,1992;1,3558;69;1
IPCA;2021-09-29;3/2022;0,8596;0,8523;0,2115;0,0787;1,4775;69;1
IPCA;2021-09-29;4/2022;1,173;1,1846;0,2387;0,4397;1,8509;69;1
IPCA;2021-09-29;1/2023;1,0533;1,0536;0,2036;0,6012;1,6591;47;1
IPCA;2021-09-29;2/2023;0,7533;0,7217;0,1691;0,4306;1,2552;45;1
IPCA;2021-09-29;3/2021;2,9354;2,9687;0,1874;2,266;3,264;133;0
IPCA;2021-09-29;4/2021;1,5563;1,5377;0,1995;1,1342;2,1045;131;0
IPCA;2021-09-29;1/2022;1,2719;1,2249;0,2165;0,621;1,7398;123;0
IPCA;2021-09-29;2/2022;0,7573;0,7787;0,2822;0,1393;1,5035;122;0
IPCA;2021-09-29;3/2022;0,8752;0,8926;0,1977;0,0787;1,4775;122;0
IPCA;2021-09-29;4/2022;1,1849;1,2047;0,2307;0,4397;1,8509;122;0
IPCA;2021-09-29;1/2023;1,0687;1,0632;0,1803;0,6012;1,6591;83;0
IPCA;2021-09-29;2/2023;0,7455;0,7217;0,156;0,4306;1,2552;80;0
IPCA;2021-09-30;3/2021;2,9661;3,0604;0,212;2,266;3,264;79;1
IPCA;2021-09-30;4/2021;1,5655;1,5983;0,2141;1,1342;2,0639;77;1
IPCA;2021-09-30;1/2022;1,2484;1,2048;0,2158;0,621;1,6814;69;1
IPCA;2021-09-30;2/2022;0,8079;0,817;0,2573;0,2313;1,3558;68;1
IPCA;2021-09-30;3/2022;0,8663;0,8574;0,2154;0,0787;1,4775;68;1
IPCA;2021-09-30;4/2022;1,1879;1,1846;0,2434;0,4397;1,8509;68;1
IPCA;2021-09-30;1/2023;1,0399;1,0486;0,1841;0,6012;1,6485;46;1
IPCA;2021-09-30;2/2023;0,7531;0,7217;0,1591;0,4606;1,2552;44;1
IPCA;2021-09-30;3/2021;2,9434;2,9789;0,1814;2,266;3,264;133;0
IPCA;2021-09-30;4/2021;1,5572;1,5377;0,2001;1,1342;2,1045;131;0
IPCA;2021-09-30;1/2022;1,2719;1,2249;0,2165;0,621;1,7398;123;0
IPCA;2021-09-30;2/2022;0,7573;0,7787;0,2822;0,1393;1,5035;122;0
IPCA;2021-09-30;3/2022;0,8752;0,8926;0,1977;0,0787;1,4775;122;0
IPCA;2021-09-30;4/2022;1,1849;1,2047;0,2307;0,4397;1,8509;122;0
IPCA;2021-09-30;1/2023;1,0704;1,0637;0,1802;0,6012;1,6591;83;0
IPCA;2021-09-30;2/2023;0,7455;0,7217;0,156;0,4306;1,2552;80;0
IPCA;2021-10-01;3/2021;2,9821;3,0604;0,1992;2,2801;3,264;65;1
IPCA;2021-10-01;4/2021;1,6065;1,6085;0,2158;1,2144;2,1754;64;1
IPCA;2021-10-01;1/2022;1,2996;1,2602;0,2271;0,621;1,7702;60;1
IPCA;2021-10-01;2/2022;0,7926;0,8111;0,2773;0,1393;1,3558;60;1
IPCA;2021-10-01;3/2022;0,8747;0,8975;0,2178;0,0687;1,4775;60;1
IPCA;2021-10-01;4/2022;1,1832;1,1897;0,2268;0,6357;1,6893;60;1
IPCA;2021-10-01;1/2023;1,0777;1,0738;0,2068;0,6012;1,6591;42;1
IPCA;2021-10-01;2/2023;0,7317;0,7209;0,1444;0,4913;1,2048;40;1
IPCA;2021-10-01;3/2021;2,9654;3,0028;0,1709;2,2801;3,264;132;0
IPCA;2021-10-01;4/2021;1,5755;1,556;0,2028;1,1543;2,1754;130;0
IPCA;2021-10-01;1/2022;1,287;1,24;0,2204;0,621;1,7702;122;0
IPCA;2021-10-01;2/2022;0,7669;0,7919;0,2833;0,1393;1,5035;121;0
IPCA;2021-10-01;3/2022;0,8811;0,9025;0,1975;0,0687;1,4775;121;0
IPCA;2021-10-01;4/2022;1,1909;1,2143;0,2209;0,6357;1,7399;121;0
IPCA;2021-10-01;1/2023;1,0702;1,0637;0,1844;0,6012;1,6591;83;0
IPCA;2021-10-01;2/2023;0,746;0,7217;0,1562;0,4306;1,2552;80;0
IPCA;2021-10-04;3/2021;2,9989;3,0553;0,1762;2,3781;3,264;58;1
IPCA;2021-10-04;4/2021;1,632;1,649;0,2073;1,235;2,1754;58;1
IPCA;2021-10-04;1/2022;1,3213;1,2653;0,2099;0,9933;1,7702;54;1
IPCA;2021-10-04;2/2022;0,801;0,8111;0,2871;0,1393;1,3558;54;1
IPCA;2021-10-04;3/2022;0,9024;0,9227;0,2242;0,0687;1,4775;54;1
IPCA;2021-10-04;4/2022;1,1886;1,2098;0,2347;0,6357;1,6893;54;1
IPCA;2021-10-04;1/2023;1,069;1,0683;0,2257;0,6012;1,6591;38;1
IPCA;2021-10-04;2/2023;0,7555;0,7267;0,163;0,4913;1,2048;36;1
IPCA;2021-10-04;3/2021;2,977;3,0094;0,1569;2,3781;3,264;130;0
IPCA;2021-10-04;4/2021;1,5816;1,5579;0,1996;1,1543;2,1754;129;0
IPCA;2021-10-04;1/2022;1,293;1,2551;0,2178;0,621;1,7702;121;0
IPCA;2021-10-04;2/2022;0,7694;0,7869;0,2856;0,1393;1,5035;120;0
IPCA;2021-10-04;3/2022;0,8867;0,9026;0,2001;0,0687;1,4775;120;0
IPCA;2021-10-04;4/2022;1,1943;1,2198;0,2228;0,6357;1,7399;120;0
IPCA;2021-10-04;1/2023;1,0718;1,0637;0,1832;0,6012;1,6591;83;0
IPCA;2021-10-04;2/2023;0,7479;0,7217;0,1584;0,4306;1,2552;80;0
IPCA;2021-10-05;3/2021;2,9958;3,0604;0,1782;2,3781;3,1826;54;1
IPCA;2021-10-05;4/2021;1,6356;1,6237;0,2102;1,235;2,1754;54;1
IPCA;2021-10-05;1/2022;1,3287;1,3101;0,2082;0,9933;1,7702;50;1
IPCA;2021-10-05;2/2022;0,7821;0,797;0,2953;0,1393;1,3558;50;1
IPCA;2021-10-05;3/2022;0,9101;0,9379;0,2267;0,0687;1,4775;50;1
IPCA;2021-10-05;4/2022;1,1801;1,2098;0,2437;0,6357;1,6893;50;1
IPCA;2021-10-05;1/2023;1,0617;1,0737;0,2107;0,6012;1,6591;35;1
IPCA;2021-10-05;2/2023;0,7555;0,7267;0,1705;0,4913;1,2048;32;1
IPCA;2021-10-05;3/2021;2,9787;3,0094;0,1579;2,3781;3,264;130;0
IPCA;2021-10-05;4/2021;1,5821;1,5607;0,1998;1,1543;2,1754;129;0
IPCA;2021-10-05;1/2022;1,2947;1,2552;0,2175;0,621;1,7702;121;0
IPCA;2021-10-05;2/2022;0,7682;0,7869;0,2866;0,1393;1,5035;120;0
IPCA;2021-10-05;3/2022;0,8891;0,9026;0,2008;0,0687;1,4775;120;0
IPCA;2021-10-05;4/2022;1,1917;1,2198;0,2247;0,6357;1,7399;120;0
IPCA;2021-10-05;1/2023;1,0718;1,0637;0,1832;0,6012;1,6591;83;0
IPCA;2021-10-05;2/2023;0,7479;0,7217;0,1584;0,4306;1,2552;80;0
IPCA;2021-10-06;3/2021;3,0069;3,0795;0,1796;2,3781;3,1826;53;1
IPCA;2021-10-06;4/2021;1,6381;1,6287;0,2199;1,2533;2,1754;53;1
IPCA;2021-10-06;1/2022;1,3262;1,3001;0,1983;0,9933;1,7702;50;1
IPCA;2021-10-06;2/2022;0,771;0,7719;0,2847;0,1393;1,3558;50;1
IPCA;2021-10-06;3/2022;0,9024;0,9075;0,2218;0,0687;1,4775;50;1
IPCA;2021-10-06;4/2022;1,1852;1,2299;0,2482;0,6357;1,6893;50;1
IPCA;2021-10-06;1/2023;1,0619;1,0738;0,2107;0,6012;1,6591;35;1
IPCA;2021-10-06;2/2023;0,7508;0,7267;0,1727;0,4913;1,2048;32;1
IPCA;2021-10-06;3/2021;2,9863;3,0247;0,1567;2,3781;3,264;130;0
IPCA;2021-10-06;4/2021;1,587;1,5607;0,2069;1,1543;2,1754;129;0
IPCA;2021-10-06;1/2022;1,2966;1,2586;0,2162;0,621;1,7702;122;0
IPCA;2021-10-06;2/2022;0,7682;0,7819;0,2858;0,1393;1,5035;121;0
IPCA;2021-10-06;3/2022;0,8888;0,9026;0,1998;0,0687;1,4775;121;0
IPCA;2021-10-06;4/2022;1,1948;1,2248;0,2262;0,6357;1,7399;121;0
IPCA;2021-10-06;1/2023;1,0712;1,0637;0,1822;0,6012;1,6591;84;0
IPCA;2021-10-06;2/2023;0,7466;0,7217;0,1579;0,4306;1,2552;81;0
IPCA;2021-10-07;3/2021;3,0349;3,1011;0,1718;2,3781;3,264;51;1
IPCA;2021-10-07;4/2021;1,6444;1,6692;0,2085;1,2552;2,1754;51;1
IPCA;2021-10-07;1/2022;1,3097;1,2955;0,2017;0,9933;1,7702;49;1
IPCA;2021-10-07;2/2022;0,7757;0,7919;0,2856;0,1393;1,3558;49;1
IPCA;2021-10-07;3/2022;0,8889;0,9025;0,2273;0,0687;1,4775;49;1
IPCA;2021-10-07;4/2022;1,1742;1,2248;0,2458;0,6357;1,6315;49;1
IPCA;2021-10-07;1/2023;1,058;1,0637;0,1913;0,6212;1,6591;35;1
IPCA;2021-10-07;2/2023;0,7654;0,792;0,1754;0,4913;1,2048;33;1
IPCA;2021-10-07;3/2021;2,9959;3,0349;0,1534;2,3781;3,264;130;0
IPCA;2021-10-07;4/2021;1,5864;1,5607;0,2076;1,1543;2,1754;129;0
IPCA;2021-10-07;1/2022;1,2976;1,2619;0,2165;0,621;1,7702;123;0
IPCA;2021-10-07;2/2022;0,7692;0,7869;0,2848;0,1393;1,5035;122;0
IPCA;2021-10-07;3/2022;0,8871;0,9026;0,1995;0,0687;1,4775;122;0
IPCA;2021-10-07;4/2022;1,1953;1,2198;0,2258;0,6357;1,7399;122;0
IPCA;2021-10-07;1/2023;1,0712;1,0637;0,1822;0,6012;1,6591;84;0
IPCA;2021-10-07;2/2023;0,7466;0,7217;0,1579;0,4306;1,2552;81;0
IPCA;2021-10-08;4/2021;1,6834;1,703;0,2198;1,1643;2,0741;44;1
IPCA;2021-10-08;1/2022;1,3428;1,3205;0,1968;1,0032;2,0415;42;1
IPCA;2021-10-08;2/2022;0,8007;0,8573;0,2598;0,2798;1,3256;42;1
IPCA;2021-10-08;3/2022;0,8285;0,792;0,2611;0,0687;1,4775;42;1
IPCA;2021-10-08;4/2022;1,176;1,1946;0,219;0,772;1,6285;42;1
IPCA;2021-10-08;1/2023;1,0552;1,0632;0,1923;0,6212;1,6515;29;1
IPCA;2021-10-08;2/2023;0,7721;0,7418;0,1823;0,393;1,2048;27;1
IPCA;2021-10-08;3/2023;0,7096;0,6012;0,2604;0,1912;1,1808;25;1
IPCA;2021-10-08;4/2021;1,6134;1,5984;0,211;1,1643;2,1754;129;0
IPCA;2021-10-08;1/2022;1,3072;1,2652;0,2221;0,621;2,0415;123;0
