Indicador;Data;DataReferencia;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
IPCA Alimentação no domicílio;2024-10-11;06/2025;0,0596;0,11;0,1908;-0,5;0,28;17;1
IPCA Alimentação no domicílio;2024-10-11;06/2025;0,0296;0,1;0,2454;-0,61;0,5;74;0
IPCA Administrados;2024-10-11;06/2025;0,3188;0,3;0,1524;0,06;0,801;21;1
IPCA Administrados;2024-10-11;06/2025;0,2909;0,3;0,145;-0,2712;0,801;85;0
IGP-M;2024-10-11;05/2025;0,2606;0,29;0,1102;0,0;0,4;29;1
IGP-M;2024-10-11;05/2025;0,2486;0,27;0,1852;-0,8;0,7797;67;0
IPCA;2024-10-11;05/2025;0,2703;0,25;0,0754;0,13;0,504;54;1
IPCA;2024-10-11;05/2025;0,2709;0,25;0,0831;0,04;0,5716;135;0
Câmbio;2024-10-11;05/2025;5,3457;5,35;0,1587;4,9;5,64;41;1
Câmbio;2024-10-11;05/2025;5,3502;5,35;0,1535;4,8;5,65;110;0
Taxa de desocupação;2024-10-11;05/2025;7,0782;7,1;0,4829;6,09;8,0;17;1
Taxa de desocupação;2024-10-11;05/2025;7,1618;7,11;0,4794;6,09;8,2;57;0
IPCA Livres;2024-10-11;05/2025;0,2135;0,2;0,1169;-0,01;0,4978;23;1
IPCA Livres;2024-10-11;05/2025;0,2081;0,2;0,0945;-0,01;0,4978;82;0
IPCA Serviços;2024-10-11;05/2025;0,1302;0,12;0,1202;-0,15;0,35;22;1
